----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:14 s, avg loss: 12.43, avg acc:0.0000%, last loss: 12.46
Train completion:0.26%, time:0 m:29 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.39
Train completion:0.40%, time:0 m:42 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.48
Train completion:0.53%, time:0 m:57 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.50
Train completion:0.66%, time:1 m:12 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.45
Train completion:0.79%, time:1 m:27 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.64
Train completion:0.92%, time:1 m:45 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.34
Train completion:1.06%, time:2 m:2 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.32
Train completion:1.19%, time:2 m:20 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.46
Train completion:1.32%, time:2 m:39 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.30
Train completion:1.45%, time:3 m:2 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.41
Train completion:1.58%, time:3 m:28 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.29
Train completion:1.72%, time:3 m:53 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.10
Train completion:1.85%, time:4 m:18 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.36
Train completion:1.98%, time:4 m:44 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.08
Train completion:2.11%, time:5 m:10 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.32
Train completion:2.24%, time:5 m:36 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.35
Train completion:2.38%, time:6 m:3 s, avg loss: 12.30, avg acc:0.0000%, last loss: 11.87
Train completion:2.51%, time:6 m:29 s, avg loss: 12.30, avg acc:0.0000%, last loss: 12.24
Train completion:2.64%, time:6 m:57 s, avg loss: 12.29, avg acc:0.0000%, last loss: 12.10
Train completion:2.77%, time:7 m:30 s, avg loss: 12.28, avg acc:0.0000%, last loss: 12.13
Train completion:2.90%, time:8 m:3 s, avg loss: 12.27, avg acc:0.0000%, last loss: 12.31
Train completion:3.04%, time:8 m:34 s, avg loss: 12.27, avg acc:0.0000%, last loss: 11.95
Train completion:3.17%, time:9 m:5 s, avg loss: 12.26, avg acc:0.0000%, last loss: 12.18
Train completion:3.30%, time:9 m:33 s, avg loss: 12.25, avg acc:0.0000%, last loss: 11.99
Train completion:3.43%, time:10 m:3 s, avg loss: 12.25, avg acc:0.0000%, last loss: 12.18
Train completion:3.56%, time:10 m:35 s, avg loss: 12.24, avg acc:0.0000%, last loss: 12.02
Train completion:3.70%, time:11 m:6 s, avg loss: 12.23, avg acc:0.0000%, last loss: 11.92
Train completion:3.83%, time:11 m:37 s, avg loss: 12.23, avg acc:0.0000%, last loss: 12.28
Train completion:3.96%, time:12 m:7 s, avg loss: 12.22, avg acc:0.0000%, last loss: 11.76
Train completion:4.09%, time:12 m:36 s, avg loss: 12.22, avg acc:0.0000%, last loss: 11.77
Train completion:4.22%, time:13 m:7 s, avg loss: 12.21, avg acc:0.0000%, last loss: 12.26
Train completion:4.36%, time:13 m:42 s, avg loss: 12.21, avg acc:0.0000%, last loss: 11.92
Train completion:4.49%, time:14 m:12 s, avg loss: 12.20, avg acc:0.0000%, last loss: 11.85
Train completion:4.62%, time:14 m:43 s, avg loss: 12.19, avg acc:0.0000%, last loss: 11.70
Train completion:4.75%, time:15 m:13 s, avg loss: 12.19, avg acc:0.0000%, last loss: 11.94
Train completion:4.88%, time:15 m:46 s, avg loss: 12.18, avg acc:0.0000%, last loss: 12.47
Train completion:5.02%, time:16 m:19 s, avg loss: 12.17, avg acc:0.0000%, last loss: 12.00
Train completion:5.15%, time:16 m:51 s, avg loss: 12.16, avg acc:0.0000%, last loss: 12.27
Train completion:5.28%, time:17 m:22 s, avg loss: 12.16, avg acc:0.0000%, last loss: 12.05
Train completion:5.41%, time:17 m:56 s, avg loss: 12.15, avg acc:0.0000%, last loss: 12.26
Train completion:5.54%, time:18 m:33 s, avg loss: 12.14, avg acc:0.0000%, last loss: 11.42
Train completion:5.68%, time:19 m:10 s, avg loss: 12.14, avg acc:0.0000%, last loss: 11.65
Train completion:5.81%, time:19 m:48 s, avg loss: 12.13, avg acc:0.0000%, last loss: 12.05
Train completion:5.94%, time:20 m:27 s, avg loss: 12.12, avg acc:0.0000%, last loss: 11.88
Train completion:6.07%, time:21 m:6 s, avg loss: 12.12, avg acc:0.0000%, last loss: 11.92
Train completion:6.20%, time:21 m:45 s, avg loss: 12.12, avg acc:0.0000%, last loss: 11.98
Train completion:6.34%, time:22 m:25 s, avg loss: 12.11, avg acc:0.0000%, last loss: 11.96
Train completion:6.47%, time:23 m:5 s, avg loss: 12.10, avg acc:0.0000%, last loss: 12.23
Train completion:6.60%, time:23 m:45 s, avg loss: 12.09, avg acc:0.0000%, last loss: 11.58
Train completion:6.73%, time:24 m:26 s, avg loss: 12.09, avg acc:0.0000%, last loss: 11.48
Train completion:6.86%, time:25 m:8 s, avg loss: 12.08, avg acc:0.0000%, last loss: 11.78
Train completion:7.00%, time:25 m:49 s, avg loss: 12.08, avg acc:0.0000%, last loss: 11.62
Train completion:7.13%, time:26 m:30 s, avg loss: 12.07, avg acc:0.0000%, last loss: 11.94
Train completion:7.26%, time:27 m:12 s, avg loss: 12.07, avg acc:0.0000%, last loss: 11.90
Train completion:7.39%, time:27 m:57 s, avg loss: 12.06, avg acc:0.0000%, last loss: 11.33
Train completion:7.52%, time:28 m:40 s, avg loss: 12.05, avg acc:0.0000%, last loss: 11.69
Train completion:7.66%, time:29 m:22 s, avg loss: 12.04, avg acc:0.0000%, last loss: 11.69
Train completion:7.79%, time:30 m:4 s, avg loss: 12.04, avg acc:0.0000%, last loss: 11.62
Train completion:7.92%, time:30 m:44 s, avg loss: 12.03, avg acc:0.0000%, last loss: 11.81
Train completion:8.05%, time:31 m:26 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.86
Train completion:8.18%, time:32 m:11 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.53
Train completion:8.32%, time:32 m:56 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.47
Train completion:8.45%, time:33 m:40 s, avg loss: 12.01, avg acc:0.0000%, last loss: 11.80
Train completion:8.58%, time:34 m:26 s, avg loss: 12.00, avg acc:0.0000%, last loss: 11.96
Train completion:8.71%, time:35 m:11 s, avg loss: 12.00, avg acc:0.0000%, last loss: 11.63
Train completion:8.84%, time:35 m:53 s, avg loss: 11.99, avg acc:0.0000%, last loss: 11.01
Train completion:8.98%, time:36 m:35 s, avg loss: 11.99, avg acc:0.0000%, last loss: 11.81
Train completion:9.11%, time:37 m:18 s, avg loss: 11.98, avg acc:0.0000%, last loss: 11.68
Train completion:9.24%, time:38 m:2 s, avg loss: 11.98, avg acc:0.0000%, last loss: 11.85
Train completion:9.37%, time:38 m:46 s, avg loss: 11.97, avg acc:0.0000%, last loss: 11.43
Train completion:9.50%, time:39 m:30 s, avg loss: 11.97, avg acc:0.0000%, last loss: 11.51
Train completion:9.64%, time:40 m:17 s, avg loss: 11.96, avg acc:0.0000%, last loss: 11.36
Train completion:9.77%, time:41 m:4 s, avg loss: 11.95, avg acc:0.0000%, last loss: 11.17
Train completion:9.90%, time:41 m:52 s, avg loss: 11.95, avg acc:0.0000%, last loss: 11.82
